,album,artists,duration_ms,explicit,href,id,name,popularity,preview_url,track_number,type,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
27,Lucky,Eve To Adam,191140,False,https://api.spotify.com/v1/tracks/3pYePK10TNQN8UXDS5J9SE,3pYePK10TNQN8UXDS5J9SE,Lucky,32,https://p.scdn.co/mp3-preview/4eadcc5725399d63bb34bc48847200212088129e?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:3pYePK10TNQN8UXDS5J9SE,5.43e-06,https://api.spotify.com/v1/audio-analysis/3pYePK10TNQN8UXDS5J9SE,0.472,191141,0.989,3pYePK10TNQN8UXDS5J9SE,0.00175,8,0.268,-3.9,1,0.1,129.994,4,https://api.spotify.com/v1/tracks/3pYePK10TNQN8UXDS5J9SE,audio_features,spotify:track:3pYePK10TNQN8UXDS5J9SE,0.217
28,A Decade And A Half,Evergrey,253013,False,https://api.spotify.com/v1/tracks/5gSPxCyEUA4Lj9RE16wgwB,5gSPxCyEUA4Lj9RE16wgwB,More Than Ever,0,,7,track,spotify:track:5gSPxCyEUA4Lj9RE16wgwB,3.57e-05,https://api.spotify.com/v1/audio-analysis/5gSPxCyEUA4Lj9RE16wgwB,0.518,253013,0.934,5gSPxCyEUA4Lj9RE16wgwB,0.00414,10,0.109,-3.139,1,0.0489,130.04,4,https://api.spotify.com/v1/tracks/5gSPxCyEUA4Lj9RE16wgwB,audio_features,spotify:track:5gSPxCyEUA4Lj9RE16wgwB,0.436
29,Master Of Light,Freedom Call,292146,False,https://api.spotify.com/v1/tracks/4ZYiE0Y1FttXgTqgZek4Kf,4ZYiE0Y1FttXgTqgZek4Kf,Metal Is For Everyone,41,https://p.scdn.co/mp3-preview/33e0c32ffcdd838c7520be1f8ae87cad3ebe5f48?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:4ZYiE0Y1FttXgTqgZek4Kf,0.000153,https://api.spotify.com/v1/audio-analysis/4ZYiE0Y1FttXgTqgZek4Kf,0.35,292147,0.967,4ZYiE0Y1FttXgTqgZek4Kf,0.117,11,0.258,-3.388,1,0.1,153.656,4,https://api.spotify.com/v1/tracks/4ZYiE0Y1FttXgTqgZek4Kf,audio_features,spotify:track:4ZYiE0Y1FttXgTqgZek4Kf,0.467
30,Grand Illusion,Nocturnal Rites,242626,False,https://api.spotify.com/v1/tracks/09OnB8xeghs8FRnu4dJKmU,09OnB8xeghs8FRnu4dJKmU,Still Alive,37,https://p.scdn.co/mp3-preview/8c54d80659447d092ae9049223d4202177d3e34f?cid=452833d434b043269289f61fa9bfbf09,3,track,spotify:track:09OnB8xeghs8FRnu4dJKmU,6.97e-06,https://api.spotify.com/v1/audio-analysis/09OnB8xeghs8FRnu4dJKmU,0.284,242627,0.892,09OnB8xeghs8FRnu4dJKmU,0.00357,10,0.119,-4.326,0,0.0446,169.943,4,https://api.spotify.com/v1/tracks/09OnB8xeghs8FRnu4dJKmU,audio_features,spotify:track:09OnB8xeghs8FRnu4dJKmU,0.671
31,Breaking the Surface,Meridian,296613,False,https://api.spotify.com/v1/tracks/10kEDmWN6E6Jtst0vNGtze,10kEDmWN6E6Jtst0vNGtze,Hero Forever,29,https://p.scdn.co/mp3-preview/680b1d2eb78285436e32364fcd498a891708509c?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:10kEDmWN6E6Jtst0vNGtze,1.17e-05,https://api.spotify.com/v1/audio-analysis/10kEDmWN6E6Jtst0vNGtze,0.252,296613,0.955,10kEDmWN6E6Jtst0vNGtze,3.78e-06,1,0.0687,-5.261,0,0.257,129.936,4,https://api.spotify.com/v1/tracks/10kEDmWN6E6Jtst0vNGtze,audio_features,spotify:track:10kEDmWN6E6Jtst0vNGtze,0.337
32,The Raven Age,The Raven Age,328000,False,https://api.spotify.com/v1/tracks/2yoCtR2C0sMFgII70RosuY,2yoCtR2C0sMFgII70RosuY,Angel In Disgrace,2,,4,track,spotify:track:2yoCtR2C0sMFgII70RosuY,0.000435,https://api.spotify.com/v1/audio-analysis/2yoCtR2C0sMFgII70RosuY,0.433,328000,0.996,2yoCtR2C0sMFgII70RosuY,0.000173,11,0.0832,-1.754,1,0.151,171.985,4,https://api.spotify.com/v1/tracks/2yoCtR2C0sMFgII70RosuY,audio_features,spotify:track:2yoCtR2C0sMFgII70RosuY,0.0634
33,Thunderdome,Pink Cream 69,286293,False,https://api.spotify.com/v1/tracks/3dgoHoDwMd6g9RjXsYM9Jn,3dgoHoDwMd6g9RjXsYM9Jn,Gods Come Together,0,,3,track,spotify:track:3dgoHoDwMd6g9RjXsYM9Jn,0.000672,https://api.spotify.com/v1/audio-analysis/3dgoHoDwMd6g9RjXsYM9Jn,0.45,286293,0.96,3dgoHoDwMd6g9RjXsYM9Jn,1.75e-05,6,0.226,-3.097,1,0.0541,149.987,4,https://api.spotify.com/v1/tracks/3dgoHoDwMd6g9RjXsYM9Jn,audio_features,spotify:track:3dgoHoDwMd6g9RjXsYM9Jn,0.486
34,Plains Of Oblivion,Jeff Loomis,301013,False,https://api.spotify.com/v1/tracks/47ENFnI73HDZyMYZzfE8cH,47ENFnI73HDZyMYZzfE8cH,Tragedy And Harmony,0,,4,track,spotify:track:47ENFnI73HDZyMYZzfE8cH,4.12e-06,https://api.spotify.com/v1/audio-analysis/47ENFnI73HDZyMYZzfE8cH,0.474,301013,0.972,47ENFnI73HDZyMYZzfE8cH,0.0222,1,0.098,-4.799,1,0.143,135.05,4,https://api.spotify.com/v1/tracks/47ENFnI73HDZyMYZzfE8cH,audio_features,spotify:track:47ENFnI73HDZyMYZzfE8cH,0.409
35,Chapters from a Vale Forlorn,Falconer,347626,False,https://api.spotify.com/v1/tracks/76jaUC95i1VXRmgVHY9Lh3,76jaUC95i1VXRmgVHY9Lh3,The Clarion Call,48,https://p.scdn.co/mp3-preview/b352a07fa9256ce0f8fa877b059bd62f2c94f65e?cid=452833d434b043269289f61fa9bfbf09,6,track,spotify:track:76jaUC95i1VXRmgVHY9Lh3,0.00444,https://api.spotify.com/v1/audio-analysis/76jaUC95i1VXRmgVHY9Lh3,0.269,347627,0.811,76jaUC95i1VXRmgVHY9Lh3,0.0,7,0.046,-3.691,0,0.0515,173.549,4,https://api.spotify.com/v1/tracks/76jaUC95i1VXRmgVHY9Lh3,audio_features,spotify:track:76jaUC95i1VXRmgVHY9Lh3,0.485
36,Dukebox,Jorn,336813,False,https://api.spotify.com/v1/tracks/5cchzU1igYAggOulRcD9Sn,5cchzU1igYAggOulRcD9Sn,Blacksong,0,,14,track,spotify:track:5cchzU1igYAggOulRcD9Sn,7.91e-05,https://api.spotify.com/v1/audio-analysis/5cchzU1igYAggOulRcD9Sn,0.442,336813,0.954,5cchzU1igYAggOulRcD9Sn,0.000273,9,0.327,-3.77,0,0.0558,114.788,4,https://api.spotify.com/v1/tracks/5cchzU1igYAggOulRcD9Sn,audio_features,spotify:track:5cchzU1igYAggOulRcD9Sn,0.343
