,album,artists,duration_ms,explicit,href,id,name,popularity,preview_url,track_number,type,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
24,For Club Play Only Part 4,Duke Dumont,416900,False,https://api.spotify.com/v1/tracks/1LPGNTuBxFsfy0KFtU4WAW,1LPGNTuBxFsfy0KFtU4WAW,Worship,50,https://p.scdn.co/mp3-preview/a721b30dc27101aa679c1d264865589e624e0d76?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:1LPGNTuBxFsfy0KFtU4WAW,0.162,https://api.spotify.com/v1/audio-analysis/1LPGNTuBxFsfy0KFtU4WAW,0.755,416900,0.779,1LPGNTuBxFsfy0KFtU4WAW,0.87,11,0.0742,-6.291,0,0.084,126.014,3,https://api.spotify.com/v1/tracks/1LPGNTuBxFsfy0KFtU4WAW,audio_features,spotify:track:1LPGNTuBxFsfy0KFtU4WAW,0.72
25,Großstadtmärchen,Oliver Koletzki,370333,False,https://api.spotify.com/v1/tracks/7nqyqySSbrCoFyZ5ll9gNM,7nqyqySSbrCoFyZ5ll9gNM,Warschauer Straße - Original Version,41,https://p.scdn.co/mp3-preview/88abae8f0442f0037f4cbd9c70cdb166aed15490?cid=452833d434b043269289f61fa9bfbf09,5,track,spotify:track:7nqyqySSbrCoFyZ5ll9gNM,0.00241,https://api.spotify.com/v1/audio-analysis/7nqyqySSbrCoFyZ5ll9gNM,0.836,370333,0.495,7nqyqySSbrCoFyZ5ll9gNM,0.844,9,0.0783,-10.834,0,0.0476,124.994,4,https://api.spotify.com/v1/tracks/7nqyqySSbrCoFyZ5ll9gNM,audio_features,spotify:track:7nqyqySSbrCoFyZ5ll9gNM,0.523
26,215 In The East,"Jay Haze, Lorenzo Dada",579533,False,https://api.spotify.com/v1/tracks/2t1BSibONZjORicjEzCbx6,2t1BSibONZjORicjEzCbx6,When Coasts Collide - Original mix,45,https://p.scdn.co/mp3-preview/8db378a7a01294db667b66965394dad01dfca3a8?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:2t1BSibONZjORicjEzCbx6,3.28e-05,https://api.spotify.com/v1/audio-analysis/2t1BSibONZjORicjEzCbx6,0.81,579533,0.658,2t1BSibONZjORicjEzCbx6,0.896,9,0.0995,-12.115,1,0.0466,123.005,4,https://api.spotify.com/v1/tracks/2t1BSibONZjORicjEzCbx6,audio_features,spotify:track:2t1BSibONZjORicjEzCbx6,0.669
28,Diynamic Revisited (By David August),Kollektiv Turmstrasse,404818,False,https://api.spotify.com/v1/tracks/2pOaeeEj3eSRMMLlftPNHX,2pOaeeEj3eSRMMLlftPNHX,Last Day - David August Revision,51,https://p.scdn.co/mp3-preview/6b537cf0098858e54184d40aeace248189579010?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:2pOaeeEj3eSRMMLlftPNHX,0.281,https://api.spotify.com/v1/audio-analysis/2pOaeeEj3eSRMMLlftPNHX,0.674,404819,0.496,2pOaeeEj3eSRMMLlftPNHX,0.929,10,0.11,-14.709,0,0.0357,112.011,4,https://api.spotify.com/v1/tracks/2pOaeeEj3eSRMMLlftPNHX,audio_features,spotify:track:2pOaeeEj3eSRMMLlftPNHX,0.391
29,Invidia EP,Nicolas Masseyeff,441999,False,https://api.spotify.com/v1/tracks/26PDsEYyfRR5JtJGkCDxBb,26PDsEYyfRR5JtJGkCDxBb,Invidia - Original Mix,28,https://p.scdn.co/mp3-preview/a3f6fb008d7cce7e19b1f08eb47682b6b27b4545?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:26PDsEYyfRR5JtJGkCDxBb,0.000207,https://api.spotify.com/v1/audio-analysis/26PDsEYyfRR5JtJGkCDxBb,0.639,441999,0.746,26PDsEYyfRR5JtJGkCDxBb,0.488,2,0.117,-8.828,1,0.0378,121.996,4,https://api.spotify.com/v1/tracks/26PDsEYyfRR5JtJGkCDxBb,audio_features,spotify:track:26PDsEYyfRR5JtJGkCDxBb,0.168
30,Full Time EP,Tuccillo,394146,False,https://api.spotify.com/v1/tracks/1dMSwCHMxUVRFwR5OyRasG,1dMSwCHMxUVRFwR5OyRasG,Keep It Down - Original Mix,29,https://p.scdn.co/mp3-preview/e83e7a66fdec747d759b2ffb2c9ea2e0554a9454?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:1dMSwCHMxUVRFwR5OyRasG,9.52e-05,https://api.spotify.com/v1/audio-analysis/1dMSwCHMxUVRFwR5OyRasG,0.813,394146,0.568,1dMSwCHMxUVRFwR5OyRasG,0.787,7,0.0702,-10.622,1,0.0711,123.073,4,https://api.spotify.com/v1/tracks/1dMSwCHMxUVRFwR5OyRasG,audio_features,spotify:track:1dMSwCHMxUVRFwR5OyRasG,0.0532
31,Yourself,Hot Since 82,438050,False,https://api.spotify.com/v1/tracks/75h4pX6dTRORSnkhr4CHfh,75h4pX6dTRORSnkhr4CHfh,Yourself,40,https://p.scdn.co/mp3-preview/d707d0c330b457b9824a3d6b25345a1b3da5e06e?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:75h4pX6dTRORSnkhr4CHfh,0.00263,https://api.spotify.com/v1/audio-analysis/75h4pX6dTRORSnkhr4CHfh,0.717,438050,0.908,75h4pX6dTRORSnkhr4CHfh,0.926,2,0.116,-6.003,1,0.0443,122.995,4,https://api.spotify.com/v1/tracks/75h4pX6dTRORSnkhr4CHfh,audio_features,spotify:track:75h4pX6dTRORSnkhr4CHfh,0.258
32,Postgalactic II,Olivier Giacomotto,442771,False,https://api.spotify.com/v1/tracks/4uu21WMiaC3h8x8nonpR5l,4uu21WMiaC3h8x8nonpR5l,Le Cap,18,,1,track,spotify:track:4uu21WMiaC3h8x8nonpR5l,0.000724,https://api.spotify.com/v1/audio-analysis/4uu21WMiaC3h8x8nonpR5l,0.795,442771,0.723,4uu21WMiaC3h8x8nonpR5l,0.888,2,0.129,-7.612,1,0.0566,122.004,4,https://api.spotify.com/v1/tracks/4uu21WMiaC3h8x8nonpR5l,audio_features,spotify:track:4uu21WMiaC3h8x8nonpR5l,0.128
33,Watergate X,SIS,418158,False,https://api.spotify.com/v1/tracks/6mCtb2DhFHqWtc1PtusRQX,6mCtb2DhFHqWtc1PtusRQX,Talking to the Birds - Original,2,,10,track,spotify:track:6mCtb2DhFHqWtc1PtusRQX,0.107,https://api.spotify.com/v1/audio-analysis/6mCtb2DhFHqWtc1PtusRQX,0.776,418158,0.627,6mCtb2DhFHqWtc1PtusRQX,0.924,4,0.103,-12.11,0,0.0424,123.997,4,https://api.spotify.com/v1/tracks/6mCtb2DhFHqWtc1PtusRQX,audio_features,spotify:track:6mCtb2DhFHqWtc1PtusRQX,0.301
34,Melt,Doppel,469153,False,https://api.spotify.com/v1/tracks/7ELPhq6TvOyaCuXDaTWeEC,7ELPhq6TvOyaCuXDaTWeEC,Melt,31,https://p.scdn.co/mp3-preview/18b5247873c95a49c37f8b6e1d81a5e9de31f44d?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:7ELPhq6TvOyaCuXDaTWeEC,0.0406,https://api.spotify.com/v1/audio-analysis/7ELPhq6TvOyaCuXDaTWeEC,0.533,469154,0.537,7ELPhq6TvOyaCuXDaTWeEC,0.45,2,0.101,-9.473,0,0.11,124.012,4,https://api.spotify.com/v1/tracks/7ELPhq6TvOyaCuXDaTWeEC,audio_features,spotify:track:7ELPhq6TvOyaCuXDaTWeEC,0.169
