,album,artists,duration_ms,explicit,href,id,name,popularity,preview_url,track_number,type,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
23,True to Self,Bryson Tiller,209040,True,https://api.spotify.com/v1/tracks/0OVhQZkNe7lh0fQeH96EFW,0OVhQZkNe7lh0fQeH96EFW,Don't Get Too High,71,https://p.scdn.co/mp3-preview/9663cb843eb7e45c3dd8e52ef938329b1edaa5c1?cid=452833d434b043269289f61fa9bfbf09,3,track,spotify:track:0OVhQZkNe7lh0fQeH96EFW,0.0148,https://api.spotify.com/v1/audio-analysis/0OVhQZkNe7lh0fQeH96EFW,0.88,209040,0.495,0OVhQZkNe7lh0fQeH96EFW,1.47e-06,1,0.121,-3.476,1,0.0681,124.055,4,https://api.spotify.com/v1/tracks/0OVhQZkNe7lh0fQeH96EFW,audio_features,spotify:track:0OVhQZkNe7lh0fQeH96EFW,0.47
24,Painting Pictures,Kodak Black,198109,True,https://api.spotify.com/v1/tracks/0bXFIF7iL17TYLyx8JHziM,0bXFIF7iL17TYLyx8JHziM,Patty Cake,78,https://p.scdn.co/mp3-preview/61944446d7dbe03ba9426384c379154af1064476?cid=452833d434b043269289f61fa9bfbf09,7,track,spotify:track:0bXFIF7iL17TYLyx8JHziM,0.0252,https://api.spotify.com/v1/audio-analysis/0bXFIF7iL17TYLyx8JHziM,0.806,198110,0.77,0bXFIF7iL17TYLyx8JHziM,0.0,1,0.0645,-6.464,0,0.19,152.094,4,https://api.spotify.com/v1/tracks/0bXFIF7iL17TYLyx8JHziM,audio_features,spotify:track:0bXFIF7iL17TYLyx8JHziM,0.419
25,bloom,"Machine Gun Kelly, Quavo, Ty Dolla $ign",203000,True,https://api.spotify.com/v1/tracks/5hfpu8saHLGedbHRtNCYjm,5hfpu8saHLGedbHRtNCYjm,Trap Paris (feat. Quavo & Ty Dolla $ign),74,,7,track,spotify:track:5hfpu8saHLGedbHRtNCYjm,0.0202,https://api.spotify.com/v1/audio-analysis/5hfpu8saHLGedbHRtNCYjm,0.961,203000,0.625,5hfpu8saHLGedbHRtNCYjm,1.91e-06,4,0.0895,-5.07,0,0.0686,124.992,4,https://api.spotify.com/v1/tracks/5hfpu8saHLGedbHRtNCYjm,audio_features,spotify:track:5hfpu8saHLGedbHRtNCYjm,0.188
27,True to Self,Bryson Tiller,169266,True,https://api.spotify.com/v1/tracks/5GG3knKdxKWrNboRijxeKF,5GG3knKdxKWrNboRijxeKF,Run Me Dry,72,https://p.scdn.co/mp3-preview/a49586868718985f927cc3f2e86ea57b65da08ee?cid=452833d434b043269289f61fa9bfbf09,9,track,spotify:track:5GG3knKdxKWrNboRijxeKF,0.393,https://api.spotify.com/v1/audio-analysis/5GG3knKdxKWrNboRijxeKF,0.646,169267,0.756,5GG3knKdxKWrNboRijxeKF,3.23e-05,9,0.202,-9.017,0,0.487,193.881,4,https://api.spotify.com/v1/tracks/5GG3knKdxKWrNboRijxeKF,audio_features,spotify:track:5GG3knKdxKWrNboRijxeKF,0.614
28,From The D To The A (feat. Lil Yachty),"Tee Grizzley, Lil Yachty",158684,True,https://api.spotify.com/v1/tracks/2NyrXRn4tancYPW6JwtTl2,2NyrXRn4tancYPW6JwtTl2,From The D To The A (feat. Lil Yachty),80,https://p.scdn.co/mp3-preview/155643656a12e570e4dda20a9a24d9da765b9ac5?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:2NyrXRn4tancYPW6JwtTl2,0.195,https://api.spotify.com/v1/audio-analysis/2NyrXRn4tancYPW6JwtTl2,0.851,158684,0.625,2NyrXRn4tancYPW6JwtTl2,0.0,10,0.266,-5.417,0,0.303,99.061,4,https://api.spotify.com/v1/tracks/2NyrXRn4tancYPW6JwtTl2,audio_features,spotify:track:2NyrXRn4tancYPW6JwtTl2,0.669
29,Teenage Emotions,Lil Yachty,210973,True,https://api.spotify.com/v1/tracks/41nFodiQgbNhVrPsLuKZ2a,41nFodiQgbNhVrPsLuKZ2a,Priorities,63,,18,track,spotify:track:41nFodiQgbNhVrPsLuKZ2a,0.0905,https://api.spotify.com/v1/audio-analysis/41nFodiQgbNhVrPsLuKZ2a,0.922,210973,0.526,41nFodiQgbNhVrPsLuKZ2a,0.0,6,0.112,-8.335,1,0.431,140.005,4,https://api.spotify.com/v1/tracks/41nFodiQgbNhVrPsLuKZ2a,audio_features,spotify:track:41nFodiQgbNhVrPsLuKZ2a,0.83
30,Ransom 2,"Mike WiLL Made-It, Kendrick Lamar, Gucci Mane, Rae Sremmurd",240926,True,https://api.spotify.com/v1/tracks/3H1JaS0NUNFjwVcJZ76SgC,3H1JaS0NUNFjwVcJZ76SgC,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",68,,6,track,spotify:track:3H1JaS0NUNFjwVcJZ76SgC,0.153,https://api.spotify.com/v1/audio-analysis/3H1JaS0NUNFjwVcJZ76SgC,0.735,240926,0.562,3H1JaS0NUNFjwVcJZ76SgC,0.0,4,0.0692,-5.509,0,0.146,180.057,4,https://api.spotify.com/v1/tracks/3H1JaS0NUNFjwVcJZ76SgC,audio_features,spotify:track:3H1JaS0NUNFjwVcJZ76SgC,0.299
31,Droptopwop,"Gucci Mane, 2 Chainz, Young Dolph",261219,True,https://api.spotify.com/v1/tracks/5HtziFfFGxXpugCqZaAHoY,5HtziFfFGxXpugCqZaAHoY,Both Eyes Closed (feat. 2 Chainz and Young Dolph),65,https://p.scdn.co/mp3-preview/5f5224430cbe53e19f79e617b5880dfb0b94dea8?cid=452833d434b043269289f61fa9bfbf09,8,track,spotify:track:5HtziFfFGxXpugCqZaAHoY,0.465,https://api.spotify.com/v1/audio-analysis/5HtziFfFGxXpugCqZaAHoY,0.706,261220,0.439,5HtziFfFGxXpugCqZaAHoY,0.000583,1,0.124,-11.074,1,0.354,164.061,4,https://api.spotify.com/v1/tracks/5HtziFfFGxXpugCqZaAHoY,audio_features,spotify:track:5HtziFfFGxXpugCqZaAHoY,0.429
32,4 Your Eyez Only,J. Cole,216520,True,https://api.spotify.com/v1/tracks/0utlOiJy2weVl9WTkcEWHy,0utlOiJy2weVl9WTkcEWHy,Neighbors,79,,7,track,spotify:track:0utlOiJy2weVl9WTkcEWHy,0.358,https://api.spotify.com/v1/audio-analysis/0utlOiJy2weVl9WTkcEWHy,0.894,216520,0.284,0utlOiJy2weVl9WTkcEWHy,0.000487,11,0.11,-13.002,0,0.33,138.944,4,https://api.spotify.com/v1/tracks/0utlOiJy2weVl9WTkcEWHy,audio_features,spotify:track:0utlOiJy2weVl9WTkcEWHy,0.413
33,What in XXXTarnation,"Xxxtentacion, Ski Mask The Slump God",164597,True,https://api.spotify.com/v1/tracks/3wBAhQLR9VjWfyYO3u4oPR,3wBAhQLR9VjWfyYO3u4oPR,What in XXXTarnation,75,https://p.scdn.co/mp3-preview/26f5538a17173cc7ac304a4c0f63ce43480f1554?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:3wBAhQLR9VjWfyYO3u4oPR,0.174,https://api.spotify.com/v1/audio-analysis/3wBAhQLR9VjWfyYO3u4oPR,0.853,164598,0.591,3wBAhQLR9VjWfyYO3u4oPR,0.0,7,0.0993,-5.583,1,0.179,119.088,4,https://api.spotify.com/v1/tracks/3wBAhQLR9VjWfyYO3u4oPR,audio_features,spotify:track:3wBAhQLR9VjWfyYO3u4oPR,0.428
34,Flex Like Ouu,Lil Pump,108251,True,https://api.spotify.com/v1/tracks/4XF1D03U8LuaLzlCMugIE5,4XF1D03U8LuaLzlCMugIE5,Flex Like Ouu,76,https://p.scdn.co/mp3-preview/475b6e9e01a2be3ffcf367fac5652049efaaff52?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:4XF1D03U8LuaLzlCMugIE5,0.195,https://api.spotify.com/v1/audio-analysis/4XF1D03U8LuaLzlCMugIE5,0.859,108251,0.433,4XF1D03U8LuaLzlCMugIE5,0.0,6,0.0906,-11.346,1,0.0663,141.981,4,https://api.spotify.com/v1/tracks/4XF1D03U8LuaLzlCMugIE5,audio_features,spotify:track:4XF1D03U8LuaLzlCMugIE5,0.709
35,FUTURE,Future,261751,True,https://api.spotify.com/v1/tracks/4lozYCMRLtEc46exlhoK2Q,4lozYCMRLtEc46exlhoK2Q,I'm so Groovy,77,https://p.scdn.co/mp3-preview/38d45b2fe9da7cc6dd7844b662165edc2a7beb20?cid=452833d434b043269289f61fa9bfbf09,11,track,spotify:track:4lozYCMRLtEc46exlhoK2Q,0.0418,https://api.spotify.com/v1/audio-analysis/4lozYCMRLtEc46exlhoK2Q,0.938,261752,0.478,4lozYCMRLtEc46exlhoK2Q,0.00884,1,0.0801,-9.739,1,0.265,138.059,4,https://api.spotify.com/v1/tracks/4lozYCMRLtEc46exlhoK2Q,audio_features,spotify:track:4lozYCMRLtEc46exlhoK2Q,0.383
36,Love Galore,"SZA, Travis Scott",260769,True,https://api.spotify.com/v1/tracks/1E2ePlJmijVSX0o1G9TFgR,1E2ePlJmijVSX0o1G9TFgR,Love Galore,78,https://p.scdn.co/mp3-preview/7c9e74dd63eea9bb35bc69068cc91b8e675cc5b3?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:1E2ePlJmijVSX0o1G9TFgR,0.096,https://api.spotify.com/v1/audio-analysis/1E2ePlJmijVSX0o1G9TFgR,0.786,260769,0.625,1E2ePlJmijVSX0o1G9TFgR,0.0,0,0.11,-5.314,1,0.0848,134.938,4,https://api.spotify.com/v1/tracks/1E2ePlJmijVSX0o1G9TFgR,audio_features,spotify:track:1E2ePlJmijVSX0o1G9TFgR,0.382
37,DAMN.,"Kendrick Lamar, Zacari",213400,True,https://api.spotify.com/v1/tracks/6PGoSes0D9eUDeeAafB2As,6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,88,,10,track,spotify:track:6PGoSes0D9eUDeeAafB2As,0.29,https://api.spotify.com/v1/audio-analysis/6PGoSes0D9eUDeeAafB2As,0.798,213400,0.582,6PGoSes0D9eUDeeAafB2As,0.0,10,0.153,-7.38,1,0.103,126.075,4,https://api.spotify.com/v1/tracks/6PGoSes0D9eUDeeAafB2As,audio_features,spotify:track:6PGoSes0D9eUDeeAafB2As,0.782
38,There's Really A Wolf,Russ,164200,True,https://api.spotify.com/v1/tracks/4f1QbCjIAgQwnf7ms9NXWx,4f1QbCjIAgQwnf7ms9NXWx,Me You,77,https://p.scdn.co/mp3-preview/1673c8436d116e161c7a79c373812810f9dc6d3b?cid=452833d434b043269289f61fa9bfbf09,5,track,spotify:track:4f1QbCjIAgQwnf7ms9NXWx,0.00196,https://api.spotify.com/v1/audio-analysis/4f1QbCjIAgQwnf7ms9NXWx,0.702,164200,0.762,4f1QbCjIAgQwnf7ms9NXWx,0.000451,8,0.142,-2.733,1,0.0328,95.019,4,https://api.spotify.com/v1/tracks/4f1QbCjIAgQwnf7ms9NXWx,audio_features,spotify:track:4f1QbCjIAgQwnf7ms9NXWx,0.25
39,First Day Out,Tee Grizzley,254693,True,https://api.spotify.com/v1/tracks/0mGgkrD2phGmsBiDy58z1O,0mGgkrD2phGmsBiDy58z1O,First Day Out,70,https://p.scdn.co/mp3-preview/238e15cd825003673c2e1efc0b4aec9263876e01?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:0mGgkrD2phGmsBiDy58z1O,0.173,https://api.spotify.com/v1/audio-analysis/0mGgkrD2phGmsBiDy58z1O,0.587,254694,0.712,0mGgkrD2phGmsBiDy58z1O,0.0,1,0.126,-6.312,1,0.414,97.991,4,https://api.spotify.com/v1/tracks/0mGgkrD2phGmsBiDy58z1O,audio_features,spotify:track:0mGgkrD2phGmsBiDy58z1O,0.402
40,Up,Desiigner,235677,True,https://api.spotify.com/v1/tracks/5YYjsDIxJKpVgNLkPpBmRA,5YYjsDIxJKpVgNLkPpBmRA,Up,75,,1,track,spotify:track:5YYjsDIxJKpVgNLkPpBmRA,0.0221,https://api.spotify.com/v1/audio-analysis/5YYjsDIxJKpVgNLkPpBmRA,0.914,235677,0.635,5YYjsDIxJKpVgNLkPpBmRA,2.82e-06,8,0.255,-7.535,1,0.375,144.051,4,https://api.spotify.com/v1/tracks/5YYjsDIxJKpVgNLkPpBmRA,audio_features,spotify:track:5YYjsDIxJKpVgNLkPpBmRA,0.388
