,album,artists,duration_ms,explicit,href,id,name,popularity,preview_url,track_number,type,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
22,"Hurry Up, We're Dreaming",M83,241440,False,https://api.spotify.com/v1/tracks/1eyzqe2QqGZUmfcPZtrIyt,1eyzqe2QqGZUmfcPZtrIyt,Midnight City,70,https://p.scdn.co/mp3-preview/2620971cb1ef9fda9aa2d3a5ce3a74dc9be73dd2?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:1eyzqe2QqGZUmfcPZtrIyt,0.0161,https://api.spotify.com/v1/audio-analysis/1eyzqe2QqGZUmfcPZtrIyt,0.526,241440,0.712,1eyzqe2QqGZUmfcPZtrIyt,0.0,11,0.179,-6.525,0,0.0356,105.009,4,https://api.spotify.com/v1/tracks/1eyzqe2QqGZUmfcPZtrIyt,audio_features,spotify:track:1eyzqe2QqGZUmfcPZtrIyt,0.299
23,"Oh, Inverted World",The Shins,231173,False,https://api.spotify.com/v1/tracks/5oUV6yWdDM0R9Q2CizRhIt,5oUV6yWdDM0R9Q2CizRhIt,New Slang,70,https://p.scdn.co/mp3-preview/cddd138adb6362fbce441a8d06acedbd960dc4d5?cid=452833d434b043269289f61fa9bfbf09,6,track,spotify:track:5oUV6yWdDM0R9Q2CizRhIt,0.605,https://api.spotify.com/v1/audio-analysis/5oUV6yWdDM0R9Q2CizRhIt,0.669,231173,0.389,5oUV6yWdDM0R9Q2CizRhIt,0.16,0,0.0905,-11.547,1,0.0306,130.015,4,https://api.spotify.com/v1/tracks/5oUV6yWdDM0R9Q2CizRhIt,audio_features,spotify:track:5oUV6yWdDM0R9Q2CizRhIt,0.642
24,Eyelid Movies,Phantogram,249066,False,https://api.spotify.com/v1/tracks/3498wF96LsgVgMkGmJzJOC,3498wF96LsgVgMkGmJzJOC,When I'm Small,61,https://p.scdn.co/mp3-preview/e6229c2b4d0bbe54ef3ae91a03b03ebaf518efeb?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:3498wF96LsgVgMkGmJzJOC,0.191,https://api.spotify.com/v1/audio-analysis/3498wF96LsgVgMkGmJzJOC,0.646,249067,0.758,3498wF96LsgVgMkGmJzJOC,0.097,10,0.103,-4.34,1,0.0314,91.998,4,https://api.spotify.com/v1/tracks/3498wF96LsgVgMkGmJzJOC,audio_features,spotify:track:3498wF96LsgVgMkGmJzJOC,0.432
25,Walking On A Dream,Empire of the Sun,198440,False,https://api.spotify.com/v1/tracks/0mBkoM8r7KAQzZij5swTUL,0mBkoM8r7KAQzZij5swTUL,Walking On A Dream,68,,2,track,spotify:track:0mBkoM8r7KAQzZij5swTUL,0.245,https://api.spotify.com/v1/audio-analysis/0mBkoM8r7KAQzZij5swTUL,0.87,198440,0.699,0mBkoM8r7KAQzZij5swTUL,6.76e-06,5,0.0588,-5.541,0,0.0459,126.967,4,https://api.spotify.com/v1/tracks/0mBkoM8r7KAQzZij5swTUL,audio_features,spotify:track:0mBkoM8r7KAQzZij5swTUL,0.725
26,Hospitality,Hospitality,187453,False,https://api.spotify.com/v1/tracks/6kaPNiBCzWGzY2QoZl4PtR,6kaPNiBCzWGzY2QoZl4PtR,Friends of Friends,49,https://p.scdn.co/mp3-preview/5006247f79b5ec6e6887a81979d2d9af64c55fd9?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:6kaPNiBCzWGzY2QoZl4PtR,0.0367,https://api.spotify.com/v1/audio-analysis/6kaPNiBCzWGzY2QoZl4PtR,0.679,187453,0.492,6kaPNiBCzWGzY2QoZl4PtR,0.000153,11,0.0778,-6.291,0,0.0353,104.786,4,https://api.spotify.com/v1/tracks/6kaPNiBCzWGzY2QoZl4PtR,audio_features,spotify:track:6kaPNiBCzWGzY2QoZl4PtR,0.459
27,"Being No One, Going Nowhere",STRFKR,232946,False,https://api.spotify.com/v1/tracks/0xxm1WskKZSCvbkGjkSMr2,0xxm1WskKZSCvbkGjkSMr2,Open Your Eyes,61,https://p.scdn.co/mp3-preview/f84d1e81154865df7aebe44bf26b99b8738520ec?cid=452833d434b043269289f61fa9bfbf09,5,track,spotify:track:0xxm1WskKZSCvbkGjkSMr2,0.00549,https://api.spotify.com/v1/audio-analysis/0xxm1WskKZSCvbkGjkSMr2,0.67,232947,0.756,0xxm1WskKZSCvbkGjkSMr2,0.599,0,0.152,-4.299,0,0.0322,129.988,4,https://api.spotify.com/v1/tracks/0xxm1WskKZSCvbkGjkSMr2,audio_features,spotify:track:0xxm1WskKZSCvbkGjkSMr2,0.413
28,Writer's Block,Peter Bjorn and John,279026,False,https://api.spotify.com/v1/tracks/6M6UoxIPn4NOWW0x7JPRfv,6M6UoxIPn4NOWW0x7JPRfv,Young Folks,62,https://p.scdn.co/mp3-preview/24b2d194bdffc2f5fa04e34c06d1f76c49fd279c?cid=452833d434b043269289f61fa9bfbf09,3,track,spotify:track:6M6UoxIPn4NOWW0x7JPRfv,0.0172,https://api.spotify.com/v1/audio-analysis/6M6UoxIPn4NOWW0x7JPRfv,0.701,279027,0.815,6M6UoxIPn4NOWW0x7JPRfv,0.000627,0,0.0969,-5.995,1,0.038,138.142,4,https://api.spotify.com/v1/tracks/6M6UoxIPn4NOWW0x7JPRfv,audio_features,spotify:track:6M6UoxIPn4NOWW0x7JPRfv,0.652
29,Heza,Generationals,226933,False,https://api.spotify.com/v1/tracks/4ZFHITy0bAeZ3oFfvR0HaI,4ZFHITy0bAeZ3oFfvR0HaI,Put a Light On,62,https://p.scdn.co/mp3-preview/41974e436063af2dd4b91f5bcefb39295876d725?cid=452833d434b043269289f61fa9bfbf09,5,track,spotify:track:4ZFHITy0bAeZ3oFfvR0HaI,0.056,https://api.spotify.com/v1/audio-analysis/4ZFHITy0bAeZ3oFfvR0HaI,0.688,226933,0.771,4ZFHITy0bAeZ3oFfvR0HaI,0.000106,1,0.0561,-4.463,1,0.0291,100.01,4,https://api.spotify.com/v1/tracks/4ZFHITy0bAeZ3oFfvR0HaI,audio_features,spotify:track:4ZFHITy0bAeZ3oFfvR0HaI,0.489
30,Sylvan Esso,Sylvan Esso,269693,False,https://api.spotify.com/v1/tracks/71cUqXJ3h1r0Ees6YdENLU,71cUqXJ3h1r0Ees6YdENLU,Coffee,63,https://p.scdn.co/mp3-preview/aad9438fecf5f06a54f80befc99f75e47fd48a0c?cid=452833d434b043269289f61fa9bfbf09,7,track,spotify:track:71cUqXJ3h1r0Ees6YdENLU,0.348,https://api.spotify.com/v1/audio-analysis/71cUqXJ3h1r0Ees6YdENLU,0.457,269693,0.455,71cUqXJ3h1r0Ees6YdENLU,0.00122,0,0.142,-8.112,1,0.188,100.049,4,https://api.spotify.com/v1/tracks/71cUqXJ3h1r0Ees6YdENLU,audio_features,spotify:track:71cUqXJ3h1r0Ees6YdENLU,0.172
31,Manners,Passion Pit,174760,False,https://api.spotify.com/v1/tracks/4prEPl61C8qZpeo3IkYSMl,4prEPl61C8qZpeo3IkYSMl,Sleepyhead,66,https://p.scdn.co/mp3-preview/de7153eb71eb8a582ff05bd54e31e841be591961?cid=452833d434b043269289f61fa9bfbf09,9,track,spotify:track:4prEPl61C8qZpeo3IkYSMl,0.0892,https://api.spotify.com/v1/audio-analysis/4prEPl61C8qZpeo3IkYSMl,0.568,174760,0.719,4prEPl61C8qZpeo3IkYSMl,1.84e-06,8,0.233,-5.406,1,0.0354,106.036,4,https://api.spotify.com/v1/tracks/4prEPl61C8qZpeo3IkYSMl,audio_features,spotify:track:4prEPl61C8qZpeo3IkYSMl,0.549
